,project,run_name,metrics/mmlu/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu/5-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/5-shot/InContextLearningMultipleChoiceAccuracy,math/MATH,math/MATH_ru,math/gsm8k,math/gsm8k_ru,code/humaneval/base_pass@1,code/humaneval/plus_pass@1,code/mbpp/base_pass@1,code/mbpp/plus_pass@1,code/lcb/pass@1,code/lcb/pass@10
28,embeddings_annealing_7B_5_3_1,embedding_instr_top50kk_annealing_3T_40B,0.6515453457832336,0.665859580039978,0.3336103856563568,0.36353057622909546,,,,,,,,,,
29,embeddings_annealing_7B_5_3_1,embedding_instr_top_by_group_annealing_3T_40B,0.6506907939910889,0.6736931800842285,0.34167221188545227,0.3631981313228607,,,,,,,,,,
30,embeddings_annealing_7B_5_3_1,embedding_instr_top_by_group_pro_annealing_3T_40B,0.6557470560073853,0.6727674007415771,0.34624335169792175,0.35912567377090454,,,,,,,,,,
31,embeddings_annealing_7B_5_3_1,embedding_instr_unanswered_top_by_group_pro_annealing_3T_40B,0.6504771113395691,0.6635094881057739,0.3508976101875305,0.3592918813228607,,,,,,,,,,
32,embeddings_annealing_7B_5_3_1,embedding_only_question_top50kk_annealing_3T_40B,0.6561031341552734,0.6640079617500305,0.3371841609477997,0.3600398898124695,,,,,,,,,,
33,embeddings_annealing_7B_5_3_1,embedding_only_question_top_by_group_annealing_3T_40B,0.6526848077774048,0.6687081456184387,0.33793216943740845,0.35081449151039124,,,,,,,,,,
34,embeddings_annealing_7B_5_3_1,embedding_only_question_top_by_group_pro_annealing_3T_40B,0.6597350835800171,0.6720552444458008,0.351146936416626,0.3606216609477997,,,,,,,,,,
35,embeddings_annealing_7B_5_3_1,embedding_only_question_unanswered_top_by_group_pro_annealing_3T_40B,0.6497650146484375,0.6700612306594849,0.3381815254688263,0.3604554533958435,,,,,,,,,,
36,embeddings_annealing_7B_5_3_1,emdedding_curr_request_top50kk_annealing_3T_40B,0.6506907939910889,0.6650049686431885,0.3385970890522003,0.3571309745311737,,,,,,,,,,
37,embeddings_annealing_7B_5_3_1,emdedding_curr_request_top_by_group_annealing_3T_40B,0.6519726514816284,0.6681384444236755,0.32962101697921753,0.35405585169792175,,,,,,,,,,
